model,msrp,release_date
iPhone SE 3 (2022),$429.00 ,3/18/2022
iPhone 13,$799.00 ,9/14/2021
iPhone 13 Mini,$699.00 ,9/14/2021
iPhone 13 Pro,$999.00 ,9/14/2021
iPhone 13 Pro Max,"$1,099.00 ",9/14/2021
iPhone 12,$799.00 ,10/23/2020
iPhone 12 Mini,$699.00 ,11/13/2020
iPhone 12 Pro,$999.00 ,10/23/2020
iPhone 12 Pro Max,"$1,099.00 ",11/13/2020
iPhone SE 2 (2020),$399.00 ,4/24/2020
iPhone 11,$699.00 ,9/20/2019
iPhone 11 Pro,$999.00 ,9/20/2019
iPhone 11 Pro Max,"$1,099.00 ",9/20/2019
iPhone XR,$749.00 ,10/26/2018
iPhone XS,$999.00 ,9/21/2018
iPhone XS Max,"$1,099.00 ",9/21/2018
iPhone X,$999.00 ,11/3/2017
iPhone 8,$699.00 ,9/22/2017
iPhone 8 Plus,$799.00 ,9/22/2017
iPhone 7,$649.00 ,9/16/2016
iPhone 7 Plus,$769.00 ,9/16/2016
iPhone SE,$399.00 ,3/31/2016
iPhone 6S,$649.00 ,9/25/2015
iPhone 6S Plus,$749.00 ,9/25/2015
