model,price,msrp,release_date,date,percent_deprec,abs_deprec,months_released,monthly_per_deprec,monthly_abs_deprec
iPhone SE 3 (2022),195.42,429.0,2022-03-18,2022-04-09,0.5444755244755245,233.58,0.722807449844966,0.7532787945009536,323.1566028409091
iPhone 13,565.0,799.0,2021-09-14,2022-04-09,0.2928660826032541,234.0,6.800961005359453,0.04306245578712521,34.40690217391304
iPhone 13 Mini,427.0,699.0,2021-09-14,2022-04-09,0.38912732474964234,272.0,6.800961005359453,0.057216520495117246,39.99434782608695
iPhone 13 Pro,690.0,999.0,2021-09-14,2022-04-09,0.30930930930930933,309.0,6.800961005359453,0.04548023567045306,45.43475543478261
iPhone 13 Pro Max,796.0,1099.0,2021-09-14,2022-04-09,0.275705186533212,303.0,6.800961005359453,0.04053915120465245,44.55252717391304
iPhone 12,410.0,799.0,2020-10-23,2022-04-09,0.48685857321652065,389.0,17.511653216698495,0.027801976614764703,22.213779315196998
iPhone 12 Mini,325.0,699.0,2020-11-13,2022-04-09,0.5350500715307582,374.0,16.82170065093739,0.031807133097505366,22.23318603515625
iPhone 12 Pro,580.0,999.0,2020-10-23,2022-04-09,0.4194194194194194,419.0,17.511653216698495,0.023950875124655612,23.926924249530956
iPhone 12 Pro Max,671.0,1099.0,2020-11-13,2022-04-09,0.38944494995450407,428.0,16.82170065093739,0.02315134230692675,25.4433251953125
iPhone SE 2 (2020),150.0,399.0,2020-04-24,2022-04-09,0.6240601503759399,249.0,23.491242119961395,0.02656565145380935,10.59969493006993
iPhone 11,275.0,699.0,2019-09-20,2022-04-09,0.6065808297567954,424.0,30.62075196615947,0.01980946876899556,13.846818669527897
iPhone 11 Pro,350.0,999.0,2019-09-20,2022-04-09,0.6496496496496497,649.0,30.62075196615947,0.02121599268259676,21.19477668991416
iPhone 11 Pro Max,445.0,1099.0,2019-09-20,2022-04-09,0.5950864422202001,654.0,30.62075196615947,0.019434089759711323,21.358064645922745
iPhone XR,190.0,749.0,2018-10-26,2022-04-09,0.7463284379172229,559.0,41.4300088297501,0.018014199344830905,13.492635309278349
iPhone XS,187.0,999.0,2018-09-21,2022-04-09,0.8128128128128128,812.0,42.57992977268527,0.01908910646757869,19.070017361111113
iPhone XS Max,280.0,1099.0,2018-09-21,2022-04-09,0.7452229299363057,819.0,42.57992977268527,0.01750174164012739,19.2344140625
iPhone X,201.0,999.0,2017-11-03,2022-04-09,0.7987987987987988,798.0,53.15920244768886,0.015026538435840044,15.011511897404203
iPhone 8,98.0,699.0,2017-09-22,2022-04-09,0.8597997138769671,601.0,54.53910757921107,0.01576482916645121,11.019615587349398
iPhone 8 Plus,160.0,799.0,2017-09-22,2022-04-09,0.799749687108886,639.0,54.53910757921107,0.014663783890254384,11.716363328313253
iPhone 7,53.0,649.0,2016-09-16,2022-04-09,0.9183359013867488,596.0,66.7282695743239,0.01376232153546076,8.931746676514033
iPhone 7 Plus,105.0,769.0,2016-09-16,2022-04-09,0.8634590377113134,664.0,66.7282695743239,0.012939928507355753,9.950805022156574
iPhone SE,20.0,399.0,2016-03-31,2022-04-09,0.949874686716792,379.0,72.28074498449661,0.013141462320574162,5.243443465909091
iPhone 6S,26.0,649.0,2015-09-25,2022-04-09,0.9599383667180277,623.0,78.45746319226268,0.012235144085218077,7.940608511306532
iPhone 6S Plus,56.0,749.0,2015-09-25,2022-04-09,0.9252336448598131,693.0,78.45746319226268,0.011792806027802563,8.83281171482412
